id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
820,334,212,"gernhardt, michael l.","gernhardt, michael l.",male,1956,u.s.,civilian,nasa astronaut group 15,1992,2,4,msp,1997,sts-83,sts-83,sts-83,sts-83,95.2,1039.05,0,0,23.26
821,334,212,"gernhardt, michael l.","gernhardt, michael l.",male,1956,u.s.,civilian,nasa astronaut group 16,1992,3,4,msp,1997,sts-94,sts-94,sts-94,sts-94,376.75,1039.05,0,0,23.26
822,334,212,"gernhardt, michael l.","gernhardt, michael l.",male,1956,u.s.,civilian,nasa astronaut group 17,1992,4,4,msp,2001,sts-104,sts-104,sts-104,sts-104,306.6,1039.05,3,16.5,23.26
823,335,213,"rominger, kent v.","rominger, kent v.",male,1956,u.s.,military,nasa-14,1992,1,5,pilot,1995,sts-73,sts-73,sts-73,sts-73,381,1608,0,0,0
824,335,213,"rominger, kent v.","rominger, kent v.",male,1956,u.s.,military,nasa-14,1992,2,5,pilot,1996,sts-80,sts-80,sts-80,sts-80,423,1608,0,0,0
825,335,213,"rominger, kent v.","rominger, kent v.",male,1956,u.s.,military,nasa-14,1992,3,5,pilot,1997,sts-85,sts-85,sts-85,sts-85,55,1608,0,0,0
826,335,213,"rominger, kent v.","rominger, kent v.",male,1956,u.s.,military,nasa-14,1992,4,5,commander,1999,sts-96,sts-96,sts-96,sts-96,235,1608,0,0,0
827,335,213,"rominger, kent v.","rominger, kent v.",male,1956,u.s.,military,nasa-14,1992,5,5,commander,2001,sts-100,sts-100,sts-100,sts-100,285,1608,0,0,0
828,336,214,"coleman, catherine g.","coleman, catherine g.",female,1960,u.s.,military,nasa- 14,1992,1,3,msp,1995,sts-73,sts-73,sts-73,sts-73,382,500,0,0,0
829,336,214,"coleman, catherine g.","coleman, catherine g.",female,1960,u.s.,military,nasa- 14,1992,2,3,msp,1999,sts-93,sts-93,sts-93,sts-93,119,500,0,0,0
830,336,214,"coleman, catherine g.","coleman, catherine g.",female,1960,u.s.,military,nasa- 14,1992,3,3,flight engineer,2011,26,soyuz tma-20,iss,soyuz tma-20,3823,500,0,0,0
