id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
716,303,191,"walz, carl e.","walz, carl e.",male,1955,u.s.,military,1990 nasa group,1990,2,4,msp,1994,sts-65,sts-65,sts-65,sts-65,360,5533.06,0,0,18.91
717,303,191,"walz, carl e.","walz, carl e.",male,1955,u.s.,military,1990 nasa group,1990,3,4,msp,1996,sts-79,sts-79,sts-79,sts-79,243,5533.06,0,0,18.91
718,303,191,"walz, carl e.","walz, carl e.",male,1955,u.s.,military,1990 nasa group,1990,4,4,msp,2001,4,sts-108,iss,sts-111,4704,5533.06,2,11.83,18.91
719,304,192,"searfoss, richard a.","searfoss, richard a.",male,1956,u.s.,military,1990 nasa group 13,1990,1,3,pilot,1993,sts-58,sts-58,sts-58,sts-58,338,938,0,0,0
720,304,192,"searfoss, richard a.","searfoss, richard a.",male,1956,u.s.,military,1990 nasa group 13,1990,2,3,pilot,1996,sts-76,sts-76,sts-76,sts-76,216,938,0,0,0
721,304,192,"searfoss, richard a.","searfoss, richard a.",male,1956,u.s.,military,1990 nasa group 13,1990,3,3,commander,1998,sts-90,sts-90,sts-90,sts-90,384,938,0,0,0
722,305,193,"mcarthur, william s., jr.","mcarthur, william s., jr.",male,1951,u.s.,military,nasa- 13,1990,1,4,msp,1993,sts-58,sts-58,sts-58,sts-58,336,5396,0,0,24.35
723,305,193,"mcarthur, william s., jr.","mcarthur, william s., jr.",male,1951,u.s.,military,nasa- 13,1990,2,4,msp,1995,sts-74,sts-74,sts-74,sts-74,196,5396,0,0,24.35
724,305,193,"mcarthur, william s., jr.","mcarthur, william s., jr.",male,1951,u.s.,military,nasa- 13,1990,3,4,msp,2000,sts-92,sts-92,sts-92,sts-92,309,5396,2,13.27,24.35
725,305,193,"mcarthur, william s., jr.","mcarthur, william s., jr.",male,1951,u.s.,military,nasa- 13,1990,4,4,flight engineer,2006,12,soyuz tma-7,iss,soyuz tma-7,4555,5396,2,11.08,24.35
726,306,194,"wolf, david a.","wolf, david a.",male,1956,u.s.,civilian,1990 nasa group,1990,1,4,msp,1993,sts-58,sts-58,sts-58,sts-58,336,4040.95,0,0,41.95
727,306,194,"wolf, david a.","wolf, david a.",male,1956,u.s.,civilian,1990 nasa group,1990,2,4,msp,1997,24,sts-86,mir,sts-89,3072,4040.95,1,3.87,41.95
728,306,194,"wolf, david a.","wolf, david a.",male,1956,u.s.,civilian,1990 nasa group,1990,3,4,msp,2002,sts-112,sts-112,sts-112,sts-112,259,4040.95,3,19.68,41.95
729,306,194,"wolf, david a.","wolf, david a.",male,1956,u.s.,civilian,1990 nasa group,1990,4,4,msp,2009,sts-127,sts-127,sts-127,sts-127,376,4040.95,3,18.4,41.95
730,307,195,"fettman, martin joseph","fettman, martin joseph",male,1956,u.s.,civilian,ps for sts-58,1992,1,1,psp,1993,sts-58,sts-58,sts-58,sts-58,336.47,336.47,0,0,0
731,308,77,yuri vladimirovich usachyov,юрий владимирович усачёв,male,1957,u.s.s.r/russia,military,1989 npoe cosmonaut group,1989,1,4,flight engineer,1994,mir eo-15,soyuz tm-18,mir,soyuz tm-18,4368.45,13270.42,0,0,31.15
732,308,77,yuri vladimirovich usachyov,юрий владимирович усачёв,male,1957,u.s.s.r/russia,military,1989 npoe cosmonaut group,1989,2,4,flight engineer,1996,mir eo-21,soyuz tm-23,mir,soyuz tm-23,4651.12,13270.42,6,30.5,31.15
733,308,77,yuri vladimirovich usachyov,юрий владимирович усачёв,male,1957,u.s.s.r/russia,military,1989 npoe cosmonaut group,1989,3,4,msp,2000,sts 101,sts 101,spacehub,sts 101,236.17,13270.42,0,0,31.15
734,308,77,yuri vladimirovich usachyov,юрий владимирович усачёв,male,1957,u.s.s.r/russia,military,1989 npoe cosmonaut group,1989,4,4,commander,2001,2,sts 102,iss,sts 102,4014.68,13270.42,1,0.65,31.15
735,309,196,"sega, ronald m.","sega, ronald m.",male,1952,u.s.,civilian,1990 nasa group 13,1990,1,2,msp,1994,sts-60,sts-60,sts-60,sts-60,199,420,0,0,0
736,309,196,"sega, ronald m.","sega, ronald m.",male,1952,u.s.,civilian,1990 nasa group 13,1990,2,2,msp,1996,sts-76,sts-76,sts-76,sts-76,221,420,0,0,0
737,310,197,"jones, thomas d.","jones, thomas d.",male,1955,u.s.,civilian,nasa- 13,1990,1,4,msp,1994,sts-59,sts-59,sts-59,sts-59,269,1272.82,0,0,19.82
738,310,197,"jones, thomas d.","jones, thomas d.",male,1955,u.s.,civilian,nasa- 14,1990,2,4,msp,1994,sts-68,sts-68,sts-68,sts-68,269,1272.82,0,0,19.82
739,310,197,"jones, thomas d.","jones, thomas d.",male,1955,u.s.,civilian,nasa- 14,1990,3,4,msp,1996,sts-80,sts-80,sts-80,sts-80,423,1272.82,0,0,19.82
740,310,197,"jones, thomas d.","jones, thomas d.",male,1955,u.s.,civilian,nasa- 14,1990,4,4,msp,2001,sts-98,sts-98,sts-98,sts-98,309,1272.82,3,19.82,19.82
741,311,78,"malenchenko, yuri",юрий иванович маленченко,male,1961,u.s.s.r/russia,military,tspk-8,1987,1,6,commander,1994,16,soyuz tm­19,mir,soyuz tm­19,3022,16872.47,2,11.12,34.83
742,311,78,"malenchenko, yuri",юрий иванович маленченко,male,1961,u.s.s.r/russia,military,tspk-8,1987,2,6,flight engineer,2000,sts­106,sts­106,sts­106,sts­106,283,16872.47,1,6.23,34.83
743,311,78,"malenchenko, yuri",юрий иванович маленченко,male,1961,u.s.s.r/russia,military,tspk-8,1987,3,6,commander,2003,7,soyuz tma­2,iss,soyuz tma­2,4438,16872.47,0,0,34.83
744,311,78,"malenchenko, yuri",юрий иванович маленченко,male,1961,u.s.s.r/russia,military,tspk-8,1987,4,6,commander,2007,16,soyuz tma­11,iss,soyuz tma­11,4603,16872.47,1,6.92,34.83
745,311,78,"malenchenko, yuri",юрий иванович маленченко,male,1961,u.s.s.r/russia,military,tspk-8,1987,5,6,commander,2012,32,soyuz tma­05m,iss,soyuz tma­05m,3047,16872.47,1,5.85,34.83
746,311,78,"malenchenko, yuri",юрий иванович маленченко,male,1961,u.s.s.r/russia,military,tspk-8,1987,6,6,commander,2015,46,soyuz tma­19m,iss,in space,1477,16872.47,1,4.72,34.83
747,312,79,"musabayev, talgat",талғат аманкелдіұлы мұсабаев,male,1951,u.s.s.r/russia,military,mga/kazakhstan,1990,1,3,flight engineer,1994,16,soyuz tm­19,mir,soyuz tm­19,3002,8193.8,2,11.12,42.6
748,312,79,"musabayev, talgat",талғат аманкелдіұлы мұсабаев,male,1951,u.s.s.r/russia,military,mga/kazakhstan,1990,2,3,commander,1998,25,soyuz tm­27,mir,soyuz tm­27,4980,8193.8,6,31.48,42.6
749,312,79,"musabayev, talgat",талғат аманкелдіұлы мұсабаев,male,1951,u.s.s.r/russia,military,mga/kazakhstan,1990,3,3,commander,2001,soyuz tm­32/31,soyuz tm­32,soyuz tm­32,soyuz tm­31,190,8193.8,0,0,42.6
750,313,198,"halsell, james d., jr.","halsell, james d., jr.",male,1956,u.s.,military,nasa astronaut group 13,1990,1,5,pilot,1994,sts-65,sts-65,sts-65,sts-65,353,1257,0,0,0
751,313,198,"halsell, james d., jr.","halsell, james d., jr.",male,1956,u.s.,military,nasa astronaut group 14,1990,2,5,pilot,1995,sts-74,sts-74,sts-74,sts-74,196,1257,0,0,0
752,313,198,"halsell, james d., jr.","halsell, james d., jr.",male,1956,u.s.,military,nasa astronaut group 15,1990,3,5,commander,1997,sts-83,sts-83,sts-83,sts-83,95,1257,0,0,0
753,313,198,"halsell, james d., jr.","halsell, james d., jr.",male,1956,u.s.,military,nasa astronaut group 16,1990,4,5,commander,1997,sts-94,sts-94,sts-94,sts-94,376,1257,0,0,0
754,313,198,"halsell, james d., jr.","halsell, james d., jr.",male,1956,u.s.,military,nasa astronaut group 17,1990,5,5,commander,2000,sts-101,sts-101,sts-101,sts-101,237,1257,0,0,0
755,314,199,"chiao, leroy","chiao, leroy",male,1960,u.s.,civilian,nasa- 13,1990,1,4,msp,1994,sts-65,sts-65,sts-65,sts-65,354,5503,0,0,36.09
756,314,199,"chiao, leroy","chiao, leroy",male,1960,u.s.,civilian,nasa- 13,1990,2,4,msp,1996,sts-72,sts-72,sts-72,sts-72,214,5503,2,12.85,36.09
757,314,199,"chiao, leroy","chiao, leroy",male,1960,u.s.,civilian,nasa- 13,1990,3,4,msp,2000,sts-92,sts-92,sts-92,sts-92,310,5503,2,13.27,36.09
758,314,199,"chiao, leroy","chiao, leroy",male,1960,u.s.,civilian,nasa- 13,1990,4,4,commander,2004,10,soyuz tma-5,iss,soyuz tma-5,4627,5503,2,9.97,36.09
759,315,200,"thomas, donald a.","thomas, donald a.",male,1955,u.s.,civilian,1990 nasa group,1990,1,4,msp,1994,sts-65,sts-65,sts-65,sts-65,353,1038,0,0,0
760,315,200,"thomas, donald a.","thomas, donald a.",male,1955,u.s.,civilian,1990 nasa group,1990,2,4,msp,1995,sts-70,sts-70,sts-70,sts-70,214,1038,0,0,0
761,315,200,"thomas, donald a.","thomas, donald a.",male,1955,u.s.,civilian,1990 nasa group,1990,3,4,msp,1997,sts-83,sts-83,sts-83,sts-83,95,1038,0,0,0
762,315,200,"thomas, donald a.","thomas, donald a.",male,1955,u.s.,civilian,1990 nasa group,1990,4,4,msp,1997,sts-94,sts-94,sts-94,sts-94,376,1038,0,0,0
763,316,3,"mukai, chiaki",向井千秋,female,1952,japan,civilian,nasda-1,1985,1,2,psp,1994,sts-65,sts-65,sts-65,sts-65,354,568,0,0,0
764,316,3,"mukai, chiaki",向井千秋,female,1952,japan,civilian,nasda-1,1985,2,2,psp,1998,sts-95,sts-95,sts-95,sts-95,214,568,0,0,0
765,317,210,"linenger, jerry m.","linenger, jerry m.",male,1955,u.s.,military,nasa- 14,1992,1,2,msp,1994,sts-64,sts-64,sts-64,sts-64,262,3218.83,0,0,0
766,317,210,"linenger, jerry m.","linenger, jerry m.",male,1955,u.s.,military,nasa- 15,1992,2,2,msp,1997,22,sts-81,mir,sts-84,3172,3218.83,0,0,0
767,318,202,"wilcutt, terrence w.","wilcutt, terrence w.",male,1949,u.s.,military,1990 nasa group,1990,1,4,pilot,1994,sts-68,sts-68,sts-68,sts-68,269,1008,0,0,0
768,318,202,"wilcutt, terrence w.","wilcutt, terrence w.",male,1949,u.s.,military,1990 nasa group,1990,2,4,pilot,1996,sts-79,sts-79,sts-79,sts-79,243,1008,0,0,0
769,318,202,"wilcutt, terrence w.","wilcutt, terrence w.",male,1949,u.s.,military,1990 nasa group,1990,3,4,commander,1998,sts-89,sts-89,sts-89,sts-89,211,1008,0,0,0
770,318,202,"wilcutt, terrence w.","wilcutt, terrence w.",male,1949,u.s.,military,1990 nasa group,1990,4,4,commander,2000,sts-106,sts-106,sts-106,sts-106,283,1008,0,0,0
771,319,203,"smith, steven l.","smith, steven l.",male,1958,u.s.,civilian,1992 nasa group,1992,1,4,msp,1994,sts-68,sts-68,sts-68,sts-68,264,960,0,0,49.8
772,319,203,"smith, steven l.","smith, steven l.",male,1958,u.s.,civilian,1993 nasa group,1992,2,4,msp,1997,sts-82,sts-82,sts-82,sts-82,240,960,3,19.17,49.8
773,319,203,"smith, steven l.","smith, steven l.",male,1958,u.s.,civilian,1994 nasa group,1992,3,4,msp,1999,sts-103,sts-103,sts-103,sts-103,192,960,2,16.38,49.8
774,319,203,"smith, steven l.","smith, steven l.",male,1958,u.s.,civilian,1995 nasa group,1992,4,4,msp,2002,sts-110,sts-110,sts-110,sts-110,264,960,2,14.25,49.8
